CWE,TP,FP,FN,Precision,Recall
CWE-787,942,4079,40,0.18761202947619995,0.9592668024439919
CWE-125,680,4237,29,0.13829570876550742,0.9590973201692524
CWE-416,26,213,546,0.1087866108786611,0.045454545454545456
CWE-20,138,591,434,0.18930041152263374,0.24125874125874125
CWE-200,61,463,259,0.11641221374045801,0.190625
CWE-119,572,4088,49,0.12274678111587983,0.9210950080515298
CWE-476,191,1562,266,0.10895607529948659,0.4179431072210066
CWE-190,242,4042,42,0.05648926237161531,0.852112676056338
CWE-400,65,495,173,0.11607142857142858,0.27310924369747897
