CWE,TP,FP,FN,Precision,Recall
CWE-787,873,3605,109,0.19495310406431443,0.8890020366598778
CWE-125,658,3703,51,0.1508828250401284,0.9280677009873061
CWE-416,77,419,495,0.15524193548387097,0.1346153846153846
CWE-20,182,826,390,0.18055555555555555,0.3181818181818182
CWE-200,82,605,238,0.11935953420669577,0.25625
CWE-119,574,3927,47,0.12752721617418353,0.9243156199677939
CWE-476,187,1533,270,0.10872093023255813,0.40919037199124725
CWE-190,184,2460,100,0.06959152798789713,0.647887323943662
CWE-400,126,1120,112,0.10112359550561797,0.5294117647058824
