CWE,TP,FP,FN,Precision,Recall
CWE-787,691,2836,291,0.19591721009356394,0.7036659877800407
CWE-125,383,1303,326,0.22716488730723605,0.5401974612129761
CWE-416,345,2174,227,0.13695911075823738,0.6031468531468531
CWE-20,380,2533,192,0.13044970820460006,0.6643356643356644
CWE-200,114,977,206,0.10449129239230064,0.35625
CWE-119,273,1483,348,0.15546697038724375,0.4396135265700483
CWE-476,308,2864,149,0.09709962168978563,0.6739606126914661
CWE-190,139,1539,145,0.08283671036948749,0.4894366197183099
CWE-400,29,56,209,0.3411764705882353,0.12184873949579832
