CWE,TP,FP,FN,Precision,Recall
CWE-787,949,4142,33,0.1864073855824003,0.9663951120162932
CWE-125,359,1222,350,0.22707147375079065,0.5063469675599436
CWE-416,287,1746,285,0.1411706837186424,0.5017482517482518
CWE-20,394,2767,178,0.12464409996836444,0.6888111888111889
CWE-200,143,1197,177,0.10671641791044777,0.446875
CWE-119,386,2414,235,0.13785714285714284,0.6215780998389694
CWE-476,349,3464,108,0.09152897980592709,0.7636761487964989
CWE-190,151,1591,133,0.08668197474167623,0.5316901408450704
CWE-400,54,310,184,0.14835164835164835,0.226890756302521
