CWE,TP,FP,FN,Precision,Recall
CWE-787,875,2419,624,0.26563448694596237,0.5837224816544363
CWE-125,489,1110,575,0.3058161350844278,0.45958646616541354
CWE-416,473,1931,381,0.19675540765391014,0.5538641686182669
CWE-20,301,1378,545,0.17927337701012508,0.3557919621749409
CWE-200,218,1501,259,0.12681791739383363,0.4570230607966457
CWE-119,704,3632,249,0.16236162361623616,0.7387198321091291
CWE-476,224,1034,473,0.178060413354531,0.321377331420373
CWE-190,140,478,271,0.22653721682847897,0.340632603406326
CWE-400,174,584,182,0.22955145118733508,0.4887640449438202
