CWE,TP,FP,FN,Precision,Recall
CWE-787,493,1747,489,0.2200892857142857,0.5020366598778004
CWE-125,397,1312,312,0.23229959040374487,0.5599435825105783
CWE-416,409,2697,163,0.1316806181584031,0.715034965034965
CWE-20,346,2257,226,0.13292354975028814,0.6048951048951049
CWE-200,252,2533,68,0.09048473967684022,0.7875
CWE-119,364,2149,257,0.14484679665738162,0.5861513687600645
CWE-476,332,3037,125,0.0985455624814485,0.7264770240700219
CWE-190,179,1883,105,0.08680892337536372,0.6302816901408451
CWE-400,183,2135,55,0.07894736842105263,0.7689075630252101
